Index,Timestamp_ms,F1,F2,FZ,F3,F4,FY,F5,FXL,F6,F7,F8,NIR,VIS,FD
1,404900,682,1004,1281,910,1865,4170,1496,4933,4449,2483,714,686,5257,17999
2,405617,1008,1431,1656,1285,2460,5082,2016,5995,5579,3092,1018,968,6392,17999
3,406357,10,59,130,54,176,588,99,691,533,240,25,22,674,17427
4,407056,1,7,15,12,28,58,12,66,70,46,7,6,90,2099
5,407726,2,7,14,13,21,47,15,61,88,56,8,7,73,3061
6,408431,3,12,23,17,30,77,21,98,128,80,11,9,110,4569
7,409094,2,10,20,15,27,66,19,84,114,72,10,8,95,4013
8,409786,2,9,18,14,25,60,17,77,106,67,9,8,87,3733
9,410469,2,9,18,14,24,58,17,74,102,65,9,8,85,3627
10,411169,2,9,17,13,23,56,16,72,100,64,9,7,82,3515
11,411870,2,9,17,13,23,55,15,70,99,63,9,7,79,3465
12,412543,2,9,17,13,23,55,16,70,100,64,9,7,79,3445
13,413222,3,11,18,15,28,62,21,78,123,82,10,6,85,3749
14,413917,5,24,35,27,62,117,45,143,215,143,22,7,135,5430
15,414626,16,88,143,76,264,628,161,727,648,303,31,24,711,17829
16,415323,11,77,138,65,225,606,116,697,559,211,22,24,684,17332
17,416027,2,10,25,13,33,101,16,118,86,39,5,6,133,3068
18,416716,3,11,20,21,47,104,29,135,173,107,11,6,157,3974
19,417397,6,36,63,28,100,290,67,328,260,121,13,10,312,8070
20,418081,750,827,652,773,1606,2652,1583,3021,3444,1926,721,262,2860,17999
21,418817,1315,1542,1534,1543,2203,3923,2262,5122,5516,2624,1208,1289,5644,17999
22,419606,1213,1486,1640,1418,2376,4705,2249,5633,5367,2679,1135,1159,5649,17999
23,420378,828,1098,1316,1008,1952,4147,1696,4796,4217,2096,795,829,4574,17999
24,421118,626,1134,1363,1043,1996,4241,1400,4902,4315,1765,611,864,4698,17999
25,421869,2,11,19,15,35,77,22,93,102,51,6,5,120,2689
26,422574,6,30,51,32,97,225,54,263,255,120,13,11,295,6653
27,423274,7,37,71,36,111,295,71,351,343,174,17,12,330,9386
28,423951,10,72,131,70,194,555,80,642,490,178,22,23,648,15894
29,424634,666,1181,1311,999,2133,2880,1489,2930,3446,2034,671,347,3303,17999
30,425413,1915,2528,1554,2585,3644,2563,3122,2896,5913,3270,1758,767,3847,17999
31,426183,2032,3190,4223,3462,4621,5528,3404,6053,6788,3372,1854,2229,8261,17999
32,426961,2804,4060,4929,4219,5962,6628,4707,7245,8080,4928,2571,2524,9602,17999
33,427725,2569,4015,5131,4171,5929,7023,4331,7530,7969,4559,2350,2579,9971,17999
34,428479,4,28,149,29,78,515,28,573,196,112,18,23,671,13357
35,429169,26,134,190,106,342,731,224,824,824,964,174,70,1048,17998
36,429865,2193,2707,2830,2553,3451,5660,3291,6697,6787,7032,2819,2558,8830,17999
37,430631,10,56,114,55,158,392,94,458,385,251,40,32,505,15635
38,431319,23,67,97,99,227,363,226,504,654,373,41,18,644,17779
39,431985,30,101,101,113,283,330,237,394,955,596,59,18,428,14169
40,432660,504,661,748,661,992,1995,964,2554,3273,1681,501,453,2551,17999
41,433395,489,674,784,673,1009,2073,943,2657,3312,1663,488,481,2662,17999
42,434144,464,648,826,649,978,2156,907,2759,3235,1615,465,515,2764,17999
