Index,Timestamp_ms,380nm,385nm,390nm,395nm,400nm,405nm,410nm,415nm,420nm,425nm,430nm,435nm,440nm,445nm,450nm,455nm,460nm,465nm,470nm,475nm,480nm,485nm,490nm,495nm,500nm,505nm,510nm,515nm,520nm,525nm,530nm,535nm,540nm,545nm,550nm,555nm,560nm,565nm,570nm,575nm,580nm,585nm,590nm,595nm,600nm,605nm,610nm,615nm,620nm,625nm,630nm,635nm,640nm,645nm,650nm,655nm,660nm,665nm,670nm,675nm,680nm,685nm,690nm,695nm,700nm,705nm,710nm,715nm,720nm,725nm,730nm,735nm,740nm,745nm,750nm,755nm,760nm,765nm,770nm,775nm,780nm,785nm,790nm,795nm,800nm,805nm,810nm,815nm,820nm,825nm,830nm,835nm,840nm,845nm,850nm,855nm,860nm,865nm,870nm,875nm,880nm
1,1034508,14.9991,30.1708,51.8393,76.6779,99.9591,121.7053,150.4282,192.5067,231.7410,231.5074,172.7181,80.4670,0.0000,0.0000,0.0000,0.0000,30.8658,91.0858,142.4786,167.2007,159.6820,131.3920,103.5707,93.3611,104.0643,125.4812,142.1417,143.2204,128.7740,109.5264,100.2527,110.0142,135.0221,159.3169,163.7538,137.7445,85.8349,24.9698,0.0000,0.0000,0.0000,0.0000,22.8482,73.0358,125.6022,177.8423,228.8620,278.5622,326.7608,372.5864,414.2089,448.9475,473.7364,485.8314,483.5516,466.8166,437.2970,398.1228,353.2446,306.6573,261.7247,220.7801,185.0588,154.9013,130.0843,110.1367,94.5403,82.7937,74.3774,68.6889,65.0079,62.5244,60.4241,58.0015,54.7610,50.4766,45.1933,39.1787,32.8400,26.6360,21.0045,16.3217,12.8971,10.9938,10.8593,12.7440,16.8870,23.4612,32.4780,43.6771,56.4373,69.7531,82.3101,92.6649,99.4996,101.8867,99.4908,92.6420,82.2600,69.6505,56.2358
2,1035214,14.8928,29.9571,51.4721,76.1351,99.2536,120.8555,149.4006,191.2248,230.2261,230.0081,171.6024,79.9450,0.0000,0.0000,0.0000,0.0000,30.9542,90.9337,142.1175,166.7326,159.2275,131.0199,103.2601,93.0239,103.6092,124.8749,141.4307,142.5022,128.1366,108.9896,99.7484,109.4246,134.2590,158.3948,162.8080,136.9748,85.4110,24.9530,0.0000,0.0000,0.0000,0.0000,23.0025,72.9082,125.1795,177.1301,227.8736,277.3127,325.2669,370.8683,412.2949,446.8775,471.5635,483.6208,481.3756,464.7470,435.3967,396.4382,351.8011,305.4587,260.7557,220.0109,184.4514,154.4147,129.6791,109.7776,94.1977,82.4446,74.0058,68.2858,64.5716,62.0597,59.9415,57.5152,54.2874,50.0313,44.7898,38.8263,32.5434,26.3948,20.8140,16.1736,12.7801,10.8942,10.7612,12.6291,16.7350,23.2502,32.1860,43.2845,55.9300,69.1261,81.5702,91.8320,98.6052,100.9709,98.5965,91.8093,81.5206,69.0244,55.7304
3,1035908,14.8809,29.9339,51.4324,76.0766,99.1840,120.8039,149.4237,191.3841,230.5257,230.3510,171.8401,79.9872,0.0000,0.0000,0.0000,0.0000,31.0402,91.2374,142.6069,167.3103,159.7700,131.4352,103.5232,93.1700,103.6966,124.9467,141.4984,142.5532,128.1548,108.9760,99.7281,109.4363,134.3322,158.5288,162.9668,137.1035,85.4635,24.9144,0.0000,0.0000,0.0000,0.0000,23.0405,73.0326,125.3792,177.3854,228.1604,277.6063,325.5443,371.1113,412.4915,447.0233,471.6627,483.6848,481.4217,464.7960,435.4693,396.5520,351.9679,305.6824,261.0323,220.3293,184.7958,154.7673,130.0230,110.0993,94.4887,82.7014,74.2294,68.4801,64.7418,62.2111,60.0780,57.6394,54.4001,50.1325,44.8790,38.9028,32.6071,26.4463,20.8546,16.2053,12.8055,10.9164,10.7840,12.6567,16.7723,23.3025,32.2588,43.3826,56.0568,69.2828,81.7552,92.0403,98.8289,101.2000,98.8202,92.0175,81.7055,69.1810,55.8568
4,1036635,20.5488,41.2749,70.8711,104.5908,134.8564,158.4828,182.1646,213.3133,239.7256,229.6994,166.7087,74.6496,0.0000,0.0000,0.0000,0.0000,29.4546,90.2116,141.6147,165.3272,155.6980,124.6691,94.2398,82.1202,91.6743,112.3511,128.3465,129.0315,115.4577,99.8769,98.2617,119.4191,157.2125,191.7702,200.1753,170.1602,107.6124,33.1146,0.0000,0.0000,0.0000,0.0000,9.3052,63.3439,119.5686,174.5116,226.8768,276.4447,323.1493,366.4503,405.0401,436.9036,459.7047,471.3839,470.7790,458.0530,434.7725,403.6031,367.7253,330.1757,293.3307,258.6753,226.8784,198.0786,172.2225,149.3134,129.4906,112.9505,99.7842,89.8255,82.5838,77.2898,73.0330,68.9403,64.3376,58.8524,52.4363,45.3173,37.9057,30.6875,24.1344,18.6505,14.5588,12.1210,11.5702,13.1332,17.0228,23.3859,32.2136,43.2318,55.8144,68.9593,81.3618,91.5920,98.3451,100.7036,98.3350,91.5656,81.3042,68.8411,55.5824
5,1037338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2424,5.2529,9.5583,11.8123,10.7560,7.5128,4.2868,2.3580,1.7400,2.0078,2.8099,3.8176,4.6437,5.0317,5.1595,5.7024,7.4791,10.8761,15.4541,20.0155,23.1150,23.7540,21.9058,18.5716,15.2793,13.2567,12.7593,12.9991,12.7424,11.1739,8.4326,5.4924,3.5543,3.4214,5.2265,8.5575,12.7751,17.2938,21.7213,25.8678,29.6889,33.2092,36.4535,39.3968,41.9398,43.9139,45.1163,45.3638,44.5508,42.6895,39.9191,36.4800,32.6615,28.7407,24.9330,21.3674,18.0909,15.0932,12.3400,9.8023,7.4714,5.3614,3.4996,1.9151,0.6270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0058,0.0079,0.0091,0.0096,0.0094,0.0088,0.0079,0.0067,0.0054
6,1038019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3368,12.8006,22.4725,30.4428,34.9340,36.6098,37.2313,37.6397,37.4597,36.0556,33.2385,29.3696,25.2155,21.7727,20.0782,20.9897,24.9365,31.6703,40.1055,48.3826,54.2426,55.6419,51.3969,41.6348,27.9416,13.1984,1.0865,0.0000,0.0000,10.2746,29.9510,53.9693,78.8468,101.8537,121.4380,137.0482,148.6940,156.5770,160.9270,161.9945,160.0960,155.6358,149.0829,140.9198,131.5873,121.4484,110.7836,99.8140,88.7392,77.7711,67.1484,57.1232,47.9280,39.7345,32.6234,26.5771,21.4956,17.2310,13.6262,10.5462,7.8950,5.6161,3.6832,2.0847,0.8115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0329,0.3475,0.7565,1.3005,2.0138,2.9135,3.9885,5.1910,6.4345,7.6019,8.5625,9.1959,9.4174,9.1962,8.5633,7.6037,6.4382,5.1982
7,1038683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3663,29.7430,51.3819,61.6596,53.8780,34.4537,15.6993,4.6780,1.2935,2.9529,7.5648,13.3812,18.4484,21.2480,21.9335,22.7040,26.5787,35.3060,47.9157,60.8868,69.7842,71.4360,65.5395,54.8519,43.7566,35.8903,32.1998,30.6830,28.0165,21.9501,12.8172,3.2437,0.0000,0.0000,0.0000,6.7672,17.6297,29.6307,41.7235,53.3948,64.5052,75.0813,85.1305,94.5084,102.8562,109.6218,114.1615,115.8967,114.4784,109.9071,102.5645,93.1468,82.5198,71.5443,60.9259,51.1297,42.3717,34.6725,27.9416,22.0578,16.9222,12.4778,8.7011,5.5821,3.1028,1.2249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1554,0.3811,0.6512,0.9754,1.3531,1.7703,2.1990,2.6003,2.9299,3.1471,3.2231,3.1475,2.9309,2.6025,2.2035,1.7791
8,1039348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6039,3.3940,6.1880,6.6637,3.6691,0.0000,0.0000,0.0000,0.0000,0.0000,6.8534,16.0086,23.7194,27.2069,25.3779,19.5928,12.7519,7.4573,4.7125,3.9139,3.7713,3.3354,2.5621,2.2369,3.3619,6.3268,10.3569,13.6704,14.3585,11.4735,5.5980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8436,10.8224,18.7681,27.6777,37.4050,47.5760,57.5643,66.5400,73.5894,77.8855,78.8638,76.3568,70.6450,62.4075,52.5892,42.2195,32.2355,23.3497,15.9861,10.2860,6.1635,3.3870,1.6600,0.6855,0.2065,0.0242,0.0000,0.0412,0.1001,0.1499,0.1811,0.1929,0.1890,0.1750,0.1575,0.1440,0.1437,0.1691,0.2374,0.3726,0.6057,0.9738,1.5152,2.2611,3.2249,4.3899,5.7005,7.0596,8.3373,9.3893,10.0833,10.3258,10.0833,9.3892,8.3371,7.0591,5.6995
9,1040035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0054,8.1166,14.7255,18.4077,17.3143,13.0428,8.7486,6.2449,5.5080,5.8904,6.8929,8.1170,9.1327,9.6786,10.0123,10.9767,13.5688,18.2408,24.4174,30.5586,34.7493,35.5141,32.4677,26.4818,19.2789,12.6612,7.7929,4.9183,3.6111,3.3069,3.7316,4.9799,7.2957,10.7915,15.3151,20.5053,25.9467,31.3089,36.4138,41.2289,45.8135,50.2434,54.5328,58.5724,62.1001,64.7184,65.9613,65.3975,62.7441,57.9587,51.2799,43.2037,34.4016,25.6037,17.4763,10.5262,5.0466,1.1121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2398,0.4172,0.4998,0.5128,0.4794,0.4194,0.3485,0.2781,0.2166,0.1696,0.1409,0.1337,0.1507,0.1943,0.2663,0.3664,0.4914,0.6343,0.7836,0.9245,1.0407,1.1175,1.1443,1.1174,1.0404,0.9238,0.7822,0.6316
10,1040716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6726,3.3622,6.2027,7.4447,6.1754,3.3185,0.6450,0.0000,0.0000,0.4510,2.5415,5.0334,7.1739,8.2597,8.1092,7.2529,6.6092,6.8791,8.1237,9.7862,11.0728,11.4222,10.8120,9.7587,9.0003,9.0175,9.6757,10.2452,9.8261,7.9131,4.7192,1.0565,0.0000,0.0000,0.0000,0.0000,0.0000,0.9579,4.4586,8.7216,13.8073,19.7358,26.4086,33.5552,40.7203,47.3016,52.6383,56.1326,57.3739,56.2303,52.8799,47.7708,41.5239,34.8067,28.2146,22.1886,16.9827,12.6781,9.2283,6.5147,4.3960,2.7417,1.4483,0.4424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0048,0.0066,0.0075,0.0079,0.0078,0.0073,0.0065,0.0055,0.0045
